"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,4,4,25926,NA
1972,1,NA,4,7,25926,NA
1972,1,NA,4,2,11111,NA
1972,1,NA,4,2,11111,NA
1972,2,NA,6,0,25926,NA
1972,2,NA,6,2,11111,NA
1972,2,NA,6,0,3704,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,0,25926,NA
1972,2,NA,6,0,18519,NA
1972,2,NA,6,1,18519,NA
1972,1,NA,3,1,130356,NA
1972,1,NA,3,4,130356,NA
1972,1,NA,3,3,130356,NA
1972,1,NA,3,4,69444,NA
1972,1,NA,3,4,69444,NA
1972,1,NA,3,2,83333,NA
1972,1,NA,3,6,69444,NA
1972,1,NA,3,2,NA,NA
1972,1,NA,5,0,41667,NA
1972,1,NA,5,1,60185,NA
1972,1,NA,5,1,60185,NA
1972,1,NA,5,1,41667,NA
1972,1,NA,5,5,33333,NA
1972,1,NA,5,6,18519,NA
1972,1,NA,5,7,41667,NA
1972,1,NA,5,3,60185,NA
1972,1,NA,5,1,101852,NA
1972,1,NA,3,0,33333,NA
1972,1,NA,3,0,25926,NA
1972,1,NA,3,1,11111,NA
1972,1,NA,3,1,41667,NA
1972,1,NA,3,5,101852,NA
1972,1,NA,3,1,41667,NA
1972,1,NA,3,0,33333,NA
1972,1,NA,3,1,33333,NA
1972,1,NA,3,0,3704,NA
1972,2,NA,3,0,11111,NA
1972,2,NA,3,1,11111,NA
1972,2,NA,3,1,33333,NA
1972,2,NA,3,5,11111,NA
1972,2,NA,3,7,3704,NA
1972,2,NA,3,0,11111,NA
1972,2,NA,3,0,11111,NA
1972,1,NA,3,7,18519,NA
1972,1,NA,2,5,NA,NA
1972,1,NA,2,6,83333,NA
1972,1,NA,2,5,NA,NA
1972,1,NA,2,5,50926,NA
1972,1,NA,2,5,NA,NA
1972,1,NA,2,6,83333,NA
1972,1,NA,2,5,83333,NA
1972,1,NA,2,5,60185,NA
1972,1,NA,3,1,25926,NA
1972,1,NA,3,2,33333,NA
1972,1,NA,3,4,41667,NA
1972,1,NA,3,4,3704,NA
1972,1,NA,3,2,50926,NA
1972,1,NA,3,5,18519,NA
1972,1,NA,3,3,3704,NA
1972,1,NA,7,3,50926,NA
1972,1,NA,7,0,25926,NA
1972,1,NA,7,0,18519,NA
1972,1,NA,7,7,3704,NA
1972,1,NA,7,1,3704,NA
1972,1,NA,7,0,130356,NA
1972,1,NA,7,0,3704,NA
1972,1,NA,7,1,18519,NA
1972,1,NA,7,1,130356,NA
1972,1,NA,7,2,11111,NA
1972,1,NA,7,5,NA,NA
1972,1,NA,7,1,83333,NA
1972,1,NA,7,4,60185,NA
